name,team,min,uast,ts
AJ Price,IND,15.9,0.693,0.454
Aaron Brooks,PHX,21.8,0.718,0.489
Aaron Gray,NOH,12.9,0.446,0.566
Acie Law,GSW,14.2,0.605,0.502
Al Harrington,DEN,22.8,0.31,0.527
Al Horford,ATL,35.1,0.306,0.587
Al Jefferson,UTA,35.9,0.416,0.528
Al Thornton,GSW,19.5,0.41,0.531
Al-Farouq Aminu,LAC,17.9,0.406,0.499
Alonzo Gee,CLE,20.0,0.446,0.544
Amar'e Stoudemire,NYK,36.8,0.473,0.565
Amir Johnson,TOR,25.7,0.359,0.608
Anderson Varejao,CLE,32.1,0.298,0.56
Andray Blatche,WAS,33.9,0.441,0.497
Andre Iguodala,PHI,36.8,0.482,0.53
Andre Miller,POR,32.7,0.634,0.529
Andrea Bargnani,TOR,35.7,0.364,0.533
Andrei Kirilenko,UTA,31.2,0.265,0.567
Andres Nocioni,PHI,17.2,0.229,0.538
Andrew Bogut,MIL,35.3,0.518,0.496
Andrew Bynum,LAL,27.8,0.426,0.606
Andris Biedrins,GSW,23.7,0.324,0.526
Antawn Jamison,CLE,32.9,0.163,0.516
Anthony Carter,NYK,14.0,0.422,0.502
Anthony Morrow,NJN,32.0,0.319,0.573
Anthony Parker,CLE,29.0,0.318,0.505
Anthony Randolph,MIN,14.7,0.398,0.505
Anthony Tolliver,MIN,21.0,0.227,0.585
Antonio McDyess,SAS,19.0,0.112,0.516
Arron Afflalo,DEN,33.7,0.288,0.62
Austin Daye,DET,20.1,0.29,0.518
Baron Davis,CLE,28.4,0.727,0.506
Ben Gordon,DET,26.0,0.448,0.548
Ben Uzoh,NJN,10.4,0.623,0.468
Ben Wallace,DET,22.9,0.493,0.442
Beno Udrih,SAC,34.6,0.512,0.587
Blake Griffin,LAC,37.9,0.33,0.549
Boris Diaw,CHA,33.9,0.362,0.558
Brad Miller,HOU,16.9,0.212,0.566
Brandan Wright,NJN,10.2,0.283,0.54
Brandon Bass,ORL,26.1,0.343,0.571
Brandon Jennings,MIL,34.4,0.626,0.493
Brandon Roy,POR,27.9,0.612,0.491
Brandon Rush,IND,26.2,0.313,0.54
Brendan Haywood,DAL,18.5,0.313,0.532
Brian Cardinal,DAL,11.0,0.0,0.672
Brian Cook,LAC,11.2,0.236,0.534
Brook Lopez,NJN,35.2,0.363,0.549
C.J. Watson,CHI,13.3,0.568,0.466
CJ Miles,UTA,25.2,0.361,0.507
Carl Landry,NOH,26.4,0.475,0.555
Carlos Arroyo,BOS,18.5,0.292,0.528
Carlos Boozer,CHI,31.9,0.353,0.542
Carlos Delfino,MIL,32.5,0.255,0.517
Carmelo Anthony,NYK,35.7,0.523,0.557
Cartier Martin,WAS,10.4,0.127,0.524
Channing Frye,PHX,33.0,0.173,0.557
Charlie Villanueva,DET,21.9,0.236,0.553
Chase Budinger,HOU,22.3,0.179,0.534
Chauncey Billups,NYK,32.1,0.661,0.617
Chris Andersen,DEN,16.3,0.268,0.636
Chris Bosh,MIA,36.3,0.397,0.569
Chris Douglas-Roberts,MIL,20.1,0.436,0.517
Chris Duhon,ORL,15.2,0.653,0.446
Chris Kaman,LAC,26.2,0.294,0.495
Chris Paul,NOH,36.0,0.821,0.578
Chris Wilcox,DET,17.5,0.316,0.587
Christian Eyenga,CLE,21.5,0.308,0.476
Chuck Hayes,HOU,28.1,0.393,0.554
Corey Brewer,DAL,21.9,0.311,0.482
Corey Maggette,MIL,20.9,0.356,0.573
Courtney Lee,HOU,21.3,0.352,0.534
Craig Smith,LAC,12.2,0.394,0.592
D.J. Augustin,CHA,33.6,0.642,0.541
DJ White,CHA,14.6,0.324,0.542
Daequan Cook,OKC,13.9,0.089,0.63
Dahntay Jones,IND,13.1,0.62,0.558
Damien Wilkins,ATL,13.0,0.348,0.557
