name,team,min,uast,ts
Aaron McKie,PHI,29.7,0.357,0.497
Aaron Williams,NJN,19.8,0.377,0.504
Adonal Foyle,GSW,21.8,0.395,0.563
Adrian Griffin,DAL,18.5,0.336,0.463
Al Harrington,IND,30.1,0.452,0.493
Alan Henderson,ATL,18.2,0.405,0.508
Allan Houston,NYK,37.9,0.48,0.563
Allen Iverson,PHI,42.5,0.573,0.5
Alvin Williams,TOR,33.9,0.626,0.508
Amar'e Stoudemire,PHX,31.3,0.446,0.53
Andre Miller,LAC,36.4,0.7,0.495
Andrei Kirilenko,UTA,27.7,0.292,0.598
Andrew DeClercq,ORL,17.3,0.275,0.562
Anfernee Hardaway,PHX,30.6,0.418,0.499
Antawn Jamison,GSW,39.4,0.301,0.542
Anthony Carter,MIA,18.6,0.494,0.39
Anthony Johnson,NJN,12.8,0.485,0.512
Anthony Mason,MIL,32.6,0.414,0.524
Anthony Peeler,MIN,27.4,0.246,0.499
Antoine Walker,BOS,41.5,0.484,0.467
Antonio Daniels,POR,13.0,0.488,0.572
Antonio Davis,TOR,35.8,0.345,0.483
Arvydas Sabonis,POR,15.4,0.256,0.549
Austin Croshere,IND,12.9,0.302,0.53
Baron Davis,NOH,37.9,0.545,0.5
Ben Wallace,DET,39.3,0.367,0.486
Bimbo Coles,BOS,19.7,0.429,0.413
Bo Outlaw,PHX,22.5,0.301,0.574
Bob Sura,GSW,20.5,0.407,0.51
Bobby Jackson,SAC,28.4,0.421,0.561
Bobby Simmons,WAS,10.4,0.432,0.471
Bonzi Wells,POR,32.0,0.414,0.505
Brad Miller,IND,31.1,0.264,0.579
Brendan Haywood,WAS,23.8,0.457,0.561
Brent Barry,SEA,33.1,0.314,0.597
Brevin Knight,MEM,16.9,0.485,0.442
Brian Grant,MIA,32.2,0.253,0.552
Brian Scalabrine,NJN,12.2,0.294,0.487
Brian Shaw,LAL,12.5,0.277,0.467
Brian Skinner,PHI,18.0,0.335,0.574
Bruce Bowen,SAS,31.3,0.157,0.563
Bryon Russell,WAS,19.9,0.148,0.468
Calbert Cheaney,UTA,29.0,0.206,0.514
Calvin Booth,SEA,12.2,0.231,0.494
Carlos Boozer,CLE,25.3,0.332,0.577
Caron Butler,MIA,36.6,0.501,0.502
Casey Jacobsen,PHX,15.9,0.262,0.493
Charles Oakley,WAS,12.3,0.174,0.529
Charlie Ward,NYK,22.2,0.43,0.54
Chauncey Billups,DET,31.5,0.631,0.582
Chris Andersen,DEN,15.3,0.386,0.44
Chris Jefferies,TOR,13.1,0.253,0.463
Chris Mihm,CLE,15.5,0.362,0.462
Chris Webber,SAC,39.1,0.413,0.485
Chris Whitney,ORL,20.6,0.323,0.468
Chris Wilcox,LAC,10.4,0.384,0.528
Christian Laettner,WAS,29.1,0.204,0.545
Chucky Atkins,DET,21.5,0.339,0.475
Clar. Weatherspoon,NYK,25.6,0.312,0.522
Clifford Robinson,DET,34.9,0.323,0.477
Corey Maggette,LAC,31.3,0.335,0.564
Corie Blount,CHI,16.7,0.169,0.502
Corliss Williamson,DET,25.1,0.396,0.515
Courtney Alexander,NOH,20.6,0.228,0.459
Cuttino Mobley,HOU,41.7,0.497,0.537
Dajuan Wagner,CLE,29.5,0.534,0.466
Dale Davis,POR,29.2,0.346,0.566
Damon Jones,SAC,14.5,0.338,0.505
Damon Stoudamire,POR,22.3,0.474,0.46
Dan Dickau,ATL,10.4,0.586,0.504
Dan Gadzuric,MIL,15.5,0.486,0.498
Darius Miles,CLE,29.9,0.414,0.435
Darrell Armstrong,ORL,28.7,0.468,0.53
Darvin Ham,ATL,12.3,0.366,0.464
David Robinson,SAS,26.1,0.365,0.531
David Wesley,NOH,37.1,0.209,0.533
DeSagana Diop,CLE,11.8,0.481,0.356
DeShawn Stevenson,UTA,12.5,0.237,0.444
Derek Anderson,POR,33.6,0.349,0.556
Derek Fisher,LAL,34.5,0.28,0.52
Derrick Coleman,PHI,27.2,0.363,0.525
Desmond Mason,MIL,34.6,0.265,0.502
Devean George,LAL,22.7,0.194,0.485
Dion Glover,ATL,24.8,0.426,0.512
Dirk Nowitzki,DAL,39.0,0.345,0.581
Donnell Harvey,DEN,21.0,0.394,0.486
Donyell Marshall,CHI,30.5,0.28,0.513
Doug Christie,SAC,33.9,0.36,0.59
Drew Gooden,ORL,26.8,0.389,0.503
Earl Boykins,GSW,19.4,0.643,0.543
Earl Watson,MEM,17.2,0.471,0.505
Eddie Griffin,HOU,24.4,0.339,0.462
Eddie House,MIA,18.6,0.285,0.447
Eddie Jones,MIA,38.0,0.447,0.551
Eddie Robinson,CHI,21.2,0.303,0.531
Eddy Curry,CHI,19.5,0.224,0.607
Eduardo Najera,DAL,22.9,0.24,0.59
Elden Campbell,SEA,15.5,0.316,0.483
Elton Brand,LAC,39.5,0.401,0.543
Eric Piatkowski,LAC,21.9,0.262,0.601
Eric Snow,PHI,37.9,0.429,0.546
Eric Williams,BOS,28.7,0.366,0.538
Erick Dampier,GSW,24.1,0.595,0.543
Erick Strickland,IND,18.0,0.356,0.547
